image_path,text_en
./porcelain/images/0.png,"Blue and white porcelain style, a blue bird standing on a blue vase, surrounded by white flowers, the background is white."
./porcelain/images/1.png,"Blue and white porcelain style, this is a blue and white ceramic plate depicting a fox and its cubs wandering through the forest on a white background."
./porcelain/images/2.png,"Blue and white porcelain style, on a black background, a blue Wolf stands on a blue and white plate, surrounded by trees and the moon."
./porcelain/images/3.png,"Blue and white porcelain style, on a blue background, a blue butterfly and white flowers are placed in the center."
./porcelain/images/4.png,"Blue and white porcelain style, on a blue plate, a white Wolf howling in the forest at night, with the moonlight forest in the background."
./porcelain/images/5.png,"Blue and white porcelain style, on a blue background, a blue butterfly and many white flowers form an illustration."
./porcelain/images/6.png,"Blue and white porcelain style, on a white background, a blue bird and its family sit on a branch, surrounded by blue flowers."
./porcelain/images/7.png,"Blue and white porcelain style, this is a blue and white dog, it's on a blue and white plate, the background is white."
./porcelain/images/8.png,"Blue and white porcelain style, in a blue forest, a fox and several deer are running, surrounded by dense woods and clear rivers, with forest in the background."
./porcelain/images/9.png,"Blue and white porcelain style, on a white background, there are three blue birds sitting on a branch, surrounded by blue flowers and white leaves."
./porcelain/images/10.png,"Blue and white porcelain style, a blue and white Wolf standing on a hill against the moon and stars in the background."
./porcelain/images/11.png,"Blue and white porcelain style, a blue bird resting on the blue and white plate, surrounded by white flowers and branches, the background of the white and blue plate, this photo contains Chinese style."
./porcelain/images/12.png,"Blue and white porcelain style, on a blue background, a blue butterfly and white flowers intertwined."
./porcelain/images/13.png,"Blue and white porcelain style, on a blue plate, a white Wolf howling in the moonlight at night, with the blue moon and starry sky in the background."
./porcelain/images/14.png,"Blue and white porcelain style, a blue bear walks in the forest, surrounded by thick trees and grass, the background is the forest, eye level."
./porcelain/images/15.png,"Blue and white porcelain style, a blue and white cat jumps in flowers, surrounded by butterflies and flowers, the background is blue sky and white clouds."
./porcelain/images/16.png,"Blue and white porcelain style, in the forest, a witch wearing a blue dress holding a white cup, surrounded by trees and birds, the background is the forest."
./porcelain/images/17.png,"Blue and white porcelain style, in the blue forest, a white and blue fox and its cubs are playing, surrounded by trees and animals, in the background of the blue forest."
./porcelain/images/18.png,"Blue and white porcelain style, a blue Wolf in the forest at night, surrounded by trees and the moon, the background is the forest at night."
./porcelain/images/19.png,"Blue and white porcelain style, on the blue background, a white Wolf is howling, its mouth is open, revealing sharp teeth, eyes are black, surrounded by white trees and the moon, the moon's light illuminates the whole picture."
./porcelain/images/20.png,"Blue and white porcelain style, on a blue plate, a blue Wolf is howling, the background is blue ocean and trees."
./porcelain/images/21.png,"Blue and white porcelain style, a blue and white bird standing on a branch, surrounded by a blue vase and white flowers, the background is gray."
./porcelain/images/22.png,"Blue and white porcelain style, a blue and white cat sits in a circular frame on a blue background, surrounded by stars and snowflakes, all over the body."
./porcelain/images/23.png,"Blue and white porcelain style, in the blue background, a man wearing a blue jacket and pants, wearing a white hat, carrying a black backpack, standing beside a stream, surrounded by green trees and blue vases, the whole body."
./porcelain/images/24.png,"Blue and white porcelain style, on a blue and white background, a blue butterfly and some white flowers are placed in the center."
./porcelain/images/25.png,"Blue and white porcelain style, on a blue background, a blue butterfly and flowers intertwined, half."
./porcelain/images/26.png,"Blue and white porcelain style, a blue and white bird perched on a blue and white plate decorated with blue flower and branch patterns against a white background."
./porcelain/images/27.png,"Blue and white porcelain style, against a blue background, an elephant running in the river, surrounded by thick woods and rocks."
./porcelain/images/28.png,"Blue and white porcelain style, a blue and white Wolf looking up at the sky in the moonlight against a blue background."
./porcelain/images/29.png,"Blue and white porcelain style, a blue and white cat jumps in flowers, surrounded by butterflies and flowers, the background is blue flowers."
